City,Country,City_Latitude,City_Longitude
Amsterdam,Netherlands,52.3666969,4.8945398
Antalya,Turkey,36.8968908,30.7133233
Bali,Indonesia,-8.3405389,115.0919509
Bangkok,Thailand,13.7563309,100.5017651
Barcelona,Spain,41.3850639,2.1734035
Berlin,Germany,52.52000659999999,13.404954
Dubai,United Arab Emirates,25.2048493,55.2707828
Hong Kong,Hong Kong,22.3193039,114.1693611
Istanbul,Turkey,41.0082376,28.9783589
Kuala Lumpur,Malaysia,3.139003,101.686855
London,United Kingdom,51.5073509,-0.1277583
Los Angeles,United States,34.0522342,-118.2436849
Madrid,Spain,40.4167754,-3.7037902
Makkah,Saudi Arabia,21.3890824,39.8579118
Miami,United States,25.7616798,-80.1917902
Milan,Italy,45.4642035,9.189982
Munich,Germany,48.1351253,11.5819805
New York,United States,40.7127753,-74.0059728
Osaka,Japan,34.6937249,135.5022535
Palma de Mallorca,Spain,39.5696005,2.6501603
Paris,France,48.856614,2.3522219
Pattaya,Thailand,12.9235557,100.8824551
Phuket,Thailand,7.9519331,98.33808839999999
Prague,Czechia,50.0755381,14.4378005
Rome,Italy,41.9027835,12.4963655
San Francisco,United States,37.7749295,-122.4194155
Santa Cruz de la Palma,Spain,28.6839885,-17.7645747
Seoul,South Korea,37.566535,126.9779692
Shanghai,China,31.230416,121.473701
Singapore,Singapore,1.352083,103.819836
Sydney,Australia,-33.8688197,151.2092955
Taipei,Taiwan,25.0329694,121.5654177
Tokyo,Japan,35.6761919,139.6503106
Vienna,Austria,48.2081743,16.3738189
